Informazioni cronologiche,Task 1: Abstract the triple verbalisation.,Task 2.1: Formulate a question when the answer is the subject of the abstraction of the verbalisation. ,Task 2.2: Formulate a question when the answer is the property of the abstraction of the verbalisation. ,Task 2.3: Formulate a question when the answer is the object of the abstraction of the verbalisation. ,Task 1: Abstract the triple verbalisation.,Task 2.1: Formulate a question when the answer is the subject of the abstraction of the verbalisation. ,Task 2.2: Formulate a question when the answer is the property of the abstraction of the verbalisation. ,Task 2.3: Formulate a question when the answer is the object of the abstraction of the verbalisation. ,Task 1: Abstract the triple verbalisation.,Task 2.1: Formulate a question when the answer is the subject of the abstraction of the verbalisation. ,Task 2.2: Formulate a question when the answer is the property of the abstraction of the verbalisation. ,Task 2.3: Formulate a question when the answer is the object of the abstraction of the verbalisation. ,Task 1: Abstract the triple verbalisation.,Task 2.1: Formulate a question when the answer is the subject of the abstraction of the verbalisation. ,Task 2.2: Formulate a question when the answer is the property of the abstraction of the verbalisation. ,Task 2.3: Formulate a question when the answer is the object of the abstraction of the verbalisation. ,Task 1: Abstract the triple verbalisation.,Task 2.1: Formulate a question when the answer is the subject of the abstraction of the verbalisation. ,Task 2.2: Formulate a question when the answer is the property of the abstraction of the verbalisation. ,Task 2.3: Formulate a question when the answer is the object of the abstraction of the verbalisation. ,Task 1: Abstract the triple verbalisation.,Task 2.1: Formulate a question when the answer is the subject of the abstraction of the verbalisation. ,Task 2.2: Formulate a question when the answer is the property of the abstraction of the verbalisation. ,Task 2.3: Formulate a question when the answer is the object of the abstraction of the verbalisation. ,Task 1: Abstract the triple verbalisation.,Task 2.1: Formulate a question when the answer is the subject of the abstraction of the verbalisation. ,Task 2.2: Formulate a question when the answer is the property of the abstraction of the verbalisation. ,Task 2.3: Formulate a question when the answer is the object of the abstraction of the verbalisation. ,Task 1: Abstract the triple verbalisation.,Task 2.1: Formulate a question when the answer is the subject of the abstraction of the verbalisation. ,Task 2.2: Formulate a question when the answer is the property of the abstraction of the verbalisation. ,Task 2.3: Formulate a question when the answer is the object of the abstraction of the verbalisation. ,Task 1: Abstract the triple verbalisation.,Task 2.1: Formulate a question when the answer is the subject of the abstraction of the verbalisation. ,Task 2.2: Formulate a question when the answer is the property of the abstraction of the verbalisation. ,Task 2.3: Formulate a question when the answer is the object of the abstraction of the verbalisation. ,Task 1: Abstract the triple verbalisation.,Task 2.1: Formulate a question when the answer is the subject of the abstraction of the verbalisation. ,Task 2.2: Formulate a question when the answer is the property of the abstraction of the verbalisation. ,Task 2.3: Formulate a question when the answer is the object of the abstraction of the verbalisation. ,Task 1: Abstract the triple verbalisation.,Task 2.1: Formulate a question when the answer is the subject of the abstraction of the verbalisation. ,Task 2.2: Formulate a question when the answer is the property of the abstraction of the verbalisation. ,Task 2.3: Formulate a question when the answer is the object of the abstraction of the verbalisation. ,Task 1: Abstract the triple verbalisation.,Task 2.1: Formulate a question when the answer is the subject of the abstraction of the verbalisation. ,Task 2.2: Formulate a question when the answer is the property of the abstraction of the verbalisation. ,Task 2.3: Formulate a question when the answer is the object of the abstraction of the verbalisation. ,Task 1: Abstract the triple verbalisation.,Task 2.1: Formulate a question when the answer is the subject of the abstraction of the verbalisation. ,Task 2.2: Formulate a question when the answer is the property of the abstraction of the verbalisation. ,Task 2.3: Formulate a question when the answer is the object of the abstraction of the verbalisation. ,Task 1: Abstract the triple verbalisation.,Task 2.1: Formulate a question when the answer is the subject of the abstraction of the verbalisation. ,Task 2.2: Formulate a question when the answer is the property of the abstraction of the verbalisation. ,Task 2.3: Formulate a question when the answer is the object of the abstraction of the verbalisation. ,Task 1: Abstract the triple verbalisation.,Task 2.1: Formulate a question when the answer is the subject of the abstraction of the verbalisation. ,Task 2.2: Formulate a question when the answer is the property of the abstraction of the verbalisation. ,Task 2.3: Formulate a question when the answer is the object of the abstraction of the verbalisation. ,Task 1: Abstract the triple verbalisation.,Task 2.1: Formulate a question when the answer is the subject of the abstraction of the verbalisation. ,Task 2.2: Formulate a question when the answer is the property of the abstraction of the verbalisation. ,Task 2.3: Formulate a question when the answer is the object of the abstraction of the verbalisation. ,Task 1: Abstract the triple verbalisation.,Task 2.1: Formulate a question when the answer is the subject of the abstraction of the verbalisation. ,Task 2.2: Formulate a question when the answer is the property of the abstraction of the verbalisation. ,Task 2.3: Formulate a question when the answer is the object of the abstraction of the verbalisation. ,Task 1: Abstract the triple verbalisation.,Task 2.1: Formulate a question when the answer is the subject of the abstraction of the verbalisation. ,Task 2.2: Formulate a question when the answer is the property of the abstraction of the verbalisation. ,Task 2.3: Formulate a question when the answer is the object of the abstraction of the verbalisation. ,Task 1: Abstract the triple verbalisation.,Task 2.1: Formulate a question when the answer is the subject of the abstraction of the verbalisation. ,Task 2.2: Formulate a question when the answer is the property of the abstraction of the verbalisation. ,Task 2.3: Formulate a question when the answer is the object of the abstraction of the verbalisation. ,Task 1: Abstract the triple verbalisation.,Task 2.1: Formulate a question when the answer is the subject of the abstraction of the verbalisation. ,Task 2.2: Formulate a question when the answer is the property of the abstraction of the verbalisation. ,Task 2.3: Formulate a question when the answer is the object of the abstraction of the verbalisation. ,Task 1: Abstract the triple verbalisation.,Task 2.1: Formulate a question when the answer is the subject of the abstraction of the verbalisation. ,Task 2.2: Formulate a question when the answer is the property of the abstraction of the verbalisation. ,Task 2.3: Formulate a question when the answer is the object of the abstraction of the verbalisation. ,Task 1: Abstract the triple verbalisation.,Task 2.1: Formulate a question when the answer is the subject of the abstraction of the verbalisation. ,Task 2.2: Formulate a question when the answer is the property of the abstraction of the verbalisation. ,Task 2.3: Formulate a question when the answer is the object of the abstraction of the verbalisation. ,Task 1: Abstract the triple verbalisation.,Task 2.1: Formulate a question when the answer is the subject of the abstraction of the verbalisation. ,Task 2.2: Formulate a question when the answer is the property of the abstraction of the verbalisation. ,Task 2.3: Formulate a question when the answer is the object of the abstraction of the verbalisation. 
,Moelwyn Mawr is designated as a Site of Special Scientific Interest.,Moelwyn Mawr is designated as a Site of Special Scientific Interest.,Moelwyn Mawr is designated as a Site of Special Scientific Interest.,Moelwyn Mawr is designated as a Site of Special Scientific Interest.,Mehetia has a length of 1.7 km.,Mehetia has a length of 1.7 km.,Mehetia has a length of 1.7 km.,Mehetia has a length of 1.7 km.,The first ascent of Hintere Gubachspitze was a significant event.,The first ascent of Hintere Gubachspitze was a significant event.,The first ascent of Hintere Gubachspitze was a significant event.,The first ascent of Hintere Gubachspitze was a significant event.,Beinn Udlamain has the peak bagging classification of Tump.,Beinn Udlamain has the peak bagging classification of Tump.,Beinn Udlamain has the peak bagging classification of Tump.,Beinn Udlamain has the peak bagging classification of Tump.,Mons Gruithuisen Gamma is named after Gruithuisen.,Mons Gruithuisen Gamma is named after Gruithuisen.,Mons Gruithuisen Gamma is named after Gruithuisen.,Mons Gruithuisen Gamma is named after Gruithuisen.,The OS grid reference for Clach-Mheall Dubh is NN727904.,The OS grid reference for Clach-Mheall Dubh is NN727904.,The OS grid reference for Clach-Mheall Dubh is NN727904.,The OS grid reference for Clach-Mheall Dubh is NN727904.,Golany is different from Golany.,Golany is different from Golany.,Golany is different from Golany.,Golany is different from Golany.,The Morne Trois Pitons are made from basalt.,The Morne Trois Pitons are made from basalt.,The Morne Trois Pitons are made from basalt.,The Morne Trois Pitons are made from basalt.,,Maja e Qokaj is located in the time zone UTC+01:00.,Maja e Qokaj is located in the time zone UTC+01:00.,Maja e Qokaj is located in the time zone UTC+01:00.,Pizzo Alzasca's parent peak is Rosso di Ribia.,Pizzo Alzasca's parent peak is Rosso di Ribia.,Pizzo Alzasca's parent peak is Rosso di Ribia.,Pizzo Alzasca's parent peak is Rosso di Ribia.,Dictionary of Place Names in Armenia and Adjacent Areas is the source of Դողոդաղ.,Dictionary of Place Names in Armenia and Adjacent Areas is the source of Դողոդաղ.,Dictionary of Place Names in Armenia and Adjacent Areas is the source of Դողոդաղ.,Dictionary of Place Names in Armenia and Adjacent Areas is the source of Դողոդաղ.,Midthaugen has a topographic isolation of 18.5 km.,Midthaugen has a topographic isolation of 18.5 km.,Midthaugen has a topographic isolation of 18.5 km.,Midthaugen has a topographic isolation of 18.5 km.,Gora Litvinova is located on the terrain feature of Urup.,Gora Litvinova is located on the terrain feature of Urup.,Gora Litvinova is located on the terrain feature of Urup.,Gora Litvinova is located on the terrain feature of Urup.,Chancellor Dome is located in the protected area of Westland Tai Poutini National Park.,Chancellor Dome is located in the protected area of Westland Tai Poutini National Park.,Chancellor Dome is located in the protected area of Westland Tai Poutini National Park.,Chancellor Dome is located in the protected area of Westland Tai Poutini National Park.,Shiveluch is part of the Kamchatka Peninsula.,Shiveluch is part of the Kamchatka Peninsula.,Shiveluch is part of the Kamchatka Peninsula.,Shiveluch is part of the Kamchatka Peninsula.,Stob Coire Sgreamhach is in the historic county of Argyll.,Stob Coire Sgreamhach is in the historic county of Argyll.,Stob Coire Sgreamhach is in the historic county of Argyll.,Stob Coire Sgreamhach is in the historic county of Argyll.,Segltindan is the native label of Bårjjåsa.,Segltindan is the native label of Bårjjåsa.,Segltindan is the native label of Bårjjåsa.,Segltindan is the native label of Bårjjåsa.,Anthozoan Mountain has a topographic prominence of 304 metres.,Anthozoan Mountain has a topographic prominence of 304 metres.,Anthozoan Mountain has a topographic prominence of 304 metres.,Anthozoan Mountain has a topographic prominence of 304 metres.,Veľka Furkaska is in the Tatra mountains.,Veľka Furkaska is in the Tatra mountains.,Veľka Furkaska is in the Tatra mountains.,Veľka Furkaska is in the Tatra mountains.,Puig de les Piles is on the continent of Europe.,Puig de les Piles is on the continent of Europe.,Puig de les Piles is on the continent of Europe.,Puig de les Piles is on the continent of Europe.,Cerro Colcani is 3788 metres above sea level.,Cerro Colcani is 3788 metres above sea level.,Cerro Colcani is 3788 metres above sea level.,Cerro Colcani is 3788 metres above sea level.,Cerro El Cobre is located in the administrative territorial entity of Jalisco.,Cerro El Cobre is located in the administrative territorial entity of Jalisco.,Cerro El Cobre is located in the administrative territorial entity of Jalisco.,Cerro El Cobre is located in the administrative territorial entity of Jalisco.,Hawes Knob is located in Australia.,Hawes Knob is located in Australia.,Hawes Knob is located in Australia.,Hawes Knob is located in Australia.
10/14/2022 1:23:57,A mountain is designated as a protected area.,What mountain is designated as a protected area.,What is the relation between a mountain and a designated area?,What is a mountain designated as?,An island has a length of x.,What island has a length of x?,What is the relation between a island and its length?,What length does an island have?,A route of a mountain was a significant event.,What mountain has a route as a significant event?,What is the relation between a mountain and a route?,What route is a significant event of a mountain?,A mountain has the peak bagging classification of a hill.,What mountain has the peak classification of a hill?,What is the relation between a mountain and a hill?,What is the peak bagging classification of a mountain?,A mountain is named after a crater. ,What mountain is named after a crater?,What is the relation between a mountain and a crater?,What crater is a mountain named after?,The OS grid reference for a mountain is a number.,What mountain has x as OS grid reference?,What is the relation between a mountain and a OS grid reference?,What is the OS grid reference of a mountain?,A mountain is different from a village.,What mountain is different from a village?,What is the relation between a mountain and a village?,What village is different from a mountain?,A mountain is made from rock.,What mountain is made from rock?,What is the relation between a mountain and a rock?,What rock is a mountain made from?,A mountain is located in a time zone. ,What mountain is located in a time zone?,What is the relation between a mountain and a time zone?,What time zone is a mountain located in?,A mountain's parent peak is a mountain.,What mountain has parent peak a mountain?,What is the relation between two mountains?,What mountain is the parent peak of a mountain?,-,-,-,-,A mountain has a topographic isolation of x.,What mountain has a topographic isolation of x?,What is the relation between a mountain and a topographic isolation?,What topographic isolation does a mountain have?,A mountain is located on the terrain feature of an island.,What mountain is located on the terrain feature of an island?,What is the relation between a mountain and an island?,What island is a mountain located on the terrain feature of?,A mountain is located in the protected area of a national park.,What mountain is located in the protected area of a national park?,What is the relation between a mountain and a national park?,What national park is a mountain located in the protected area of?,A volcano is part of a peninsula.,What volcano is part of a peninsula?,What is the relation between a volcano and a peninsula?,What peninsula is a volcano part of?,A mountain is in a county.,What mountain is in a county?,What is the relation between a mountain and a county?,What county is a mountain in?,A label is the native label of a mountain.,What mountain has a native label?,What is the relation between a mountain and a label?,What label does a mountain have as a native label?,A mountain has a topographic prominence of x meters.,What mountain has a topographic prominence of x meters?,What is the relation between a mountain and a topographic prominence?,What topographic prominence does a mountain have?,A mountain is in a mountain range.,What mountain is in a mountain range?,What is the relation between a mountain and a mountain range?,What mountain range is a mountain in?,A mountain is on a continent. ,What mountain is on a continent?,What is the relation between a mountain and a continent?,What continent is a mountain in?,A mountain is x meters above sea level.,What mountain is x meters above sea level?,What is the relation between a mountain and meters above sea level?,How many meters above sea level is a mountain?,A mountain is located in the administrative territorial entry of a state.,What mountain is located in the administrative territorial entry of a state?,What is the relation between a mountain and the administrative territorial entity? ,What administrative territorial entity is a mountain located in?,A mountain is located in a country.,What mountain is located in a country?,What is the relation between a mountain and a country?,What country is a mountain located in?
10/15/2022 14:29:03,The mountain (770m) in Gwynedd  is designated as a conservation designation denoting a protected area in the United Kingdom,What is designated as a conservation designation denoting a protected area in the United Kingdom,What is the relation between The mountain (770m) in Gwynedd and a conservation designation denoting a protected area in the United Kingdom,As what is the Mountain in Gwynedd dasignated?,The island in French Polynesia has a length of 1.7km,Which one  has a length of 1.7km,What is the relation between The island in French Polynesia and a length of 1.7km,What length does the island in French polynesia has?,"The  first successful, documented attainment of the top of a mountain, or specific route of mountain in the Venediger Group in East Tyrol was a significant event",What was a significant event of mountain in the Venediger Group in East Tyrol ,"What is the relation between The  first successful, documented attainment of the top of a mountain, or specific route of mountain in the Venediger Group in East Tyrol and significant event","Whose first successful, documented attainment of the top of a mountain, or specific route was a significant event",The  Scottish mountain has the peak bagging classification of a hill in Britain having a prominence above 30 m  ,Who has the peak bagging classification of a hill in Britain having a prominence above 30 m  ,What is the relation between The  Scottish mountain and the peak bagging classification of a hill in Britain having a prominence above 30 m  ,What peak bagging classification does the Scottish mountain has?, The mountain on the Moon is named after lunar impact crater,Who  is named after lunar impact crater,What is the relation between The mountain on the and lunar impact crater,After who is The mountain on the Moon named ,The OS grid reference for mountain in the United Kingdom is NN727904,Whose OS grid reference is NN727904,What is the relation between The OS grid reference for mountain in the United Kingdom and NN727904,What is the OS grid reference for mountain in the United Kingdom ,The mountain in Spain is different from village of Poland,Who is different from village of Poland,What is the relation between The mountain in Spain and the village of Poland,Who is different from mountain in Spain,The mountain in Dominica are made from mafic igneous rock,What are made from mafic igneous rock,What is the relation between The mountain in Dominica and mafic igneous rock,From what are The mountain in Dominica made from,The mountain in Albania is located in the european time zone,Which one  is located in the european time zone,What is the relation between The mountain in Albania and the european time zone,In which time zone is the mountain in Albania located?,The mountain in Switzerland's parent peak is a mountain in Switzerland,Whose parent peak is a mountain in Switzerland,What is the relation between The mountain in Switzerland's parent peak and a mountain in Switzerland,Who is the parent peak of the mountain in Switzerland,The book is the source of Դողոդաղ,The source of whom is the book?,What is the relation between The book and the source of Դողոդաղ,Who is the source of Դողոդաղ,"The mountain in Nesseby municipality, Norway has a topographic isolation of 18.5 km",Which one has a topographic isolation of 18.5 km,"What is the relation between The mountain in Nesseby municipality, Norway and a topographic isolation of 18.5 km","How much is the topographic isolation of the mountain in Nesseby municipality, Norway ",The mountain in Russia is located on the terrain feature of island in Russia,Who  is located on the terrain feature of island in Russia,What is the relation between The mountain in Russia and the island in Russia,Where is located the mountain in Russia,The mountain in New Zealand is located in the protected area of national park in New Zealand,What  is located in the protected area of national park in New Zealand,What is the relation between The mountain in New Zealand and the protected area of national park in New Zealand,Where is the mountain in new zeland located?,The Active volcano  is part of the peninsula in Eastern Russia,Who is part of the peninsula in Eastern Russia,What is the relation between The Active and the peninsula in Eastern Russia,Where is the active volcano part of?,The 1072m high mountain in Scotland  is in the historic county of Argyll shire of western Scotland,Who is in the historic county of Argyll shire of western Scotland,What is the relation between The 1072m high mountain in Scotland  and the historic county of Argyll shire of western Scotland,Where is The 1072m high mountain in Scotland  ?,The mountain is the native label of mountain in Norway,To whom is the mountain a native label?,What is the relation between The mountain and the native label of mountain in Norway,Who  is the native label of mountain in Norway,The mountain in Canada has a topographic prominence of 304 metres,Who has a topographic prominence of 304 metres,What is the relation between The mountain in Canada and topographic prominence of 304 metres,How much is the topographic prominence of the mountain in Canada,The mountain in Slovakia is in the mountain range in Europe,Which one a is in the mountain range in Europe,What is the relation between The mountain in Slovakia and the mountain range in Europe,Where is the mountain in Slovakia?,The mountain in Spain is on the continent on Earth,What  is on the continent on Earth,What is the relation between The mountain in Spain and the continent on Earth,Where is the mountain in Spain?,The mountain in Bolivia is 3788 metres above sea level,What is 3788 metres above sea level,What is the relation between The mountain in Bolivia and 3788 metres above sea level,How many metres above sea level is the mountain in Bolivia,"The mountain in Jalisco, Mexico is located in the administrative territorial entity of state of Mexico",Who  is located in the administrative territorial entity of state of Mexico,"What is the relation between The mountain in Jalisco, Mexico and the administrative territorial entity of state of Mexico","Where is located The mountain in Jalisco, Mexico ",The mountain in Australia  is located in country in the Southern Hemisphere,What   is located in country in the Southern Hemisphere,What is the relation between The mountain in Australia  and the country in the Southern Hemisphere,Where is the mountain in Australia located?
